Estimator,MSE,seconds,"dataset.kwargs[""dataset""]"
DR,0.00015299364063360482,0.003515481948852539,pendigits
\ensuremath{\tt OCV_{DM}},0.050338880278164244,0.2565627098083496,pendigits
IPS,5.534466272791345e-06,0.0012862682342529297,satimage
DM,0.01475198316790377,0.00458216667175293,satimage
DR,2.9914370734044814e-05,0.0022995471954345703,satimage
\ensuremath{\tt OCV_{DM}},0.01475198316790377,0.18039417266845703,satimage
IPS,0.003094450577366077,0.00037980079650878906,vehicle
DM,0.005824524458879987,0.0035429000854492188,vehicle
DR,3.2490380586895864e-06,0.0006413459777832031,vehicle
\ensuremath{\tt OCV_{DM}},0.005824524458879987,0.0876762866973877,vehicle
IPS,0.000818246930246146,0.0005433559417724609,yeast
DM,0.002343036526848864,0.003343820571899414,yeast
DR,0.0012751656241374698,0.0009164810180664062,yeast
\ensuremath{\tt OCV_{DM}},0.002343036526848864,0.11774921417236328,yeast
IPS,0.0456808034059175,0.0002827644348144531,ecoli
DM,8.662038015074047e-05,0.0017077922821044922,ecoli
DR,0.0007816927399254978,0.00043511390686035156,ecoli
\ensuremath{\tt OCV_{DM}},0.0007816927399254978,0.06389856338500977,ecoli
IPS,0.08517837391157398,0.0003573894500732422,glass
DM,0.006685933882163318,0.004200935363769531,glass
DR,0.019597896169705996,0.0011093616485595703,glass
\ensuremath{\tt OCV_{DM}},0.006685933882163318,0.1198885440826416,glass
IPS,0.0003713784000346472,0.009050130844116211,letter
DM,0.15232892033799006,0.02432417869567871,letter
DR,0.0008006580878355669,0.015731334686279297,letter
\ensuremath{\tt OCV_{DM}},0.15232892033799006,0.7391142845153809,letter
IPS,0.0031064880089203654,0.0019030570983886719,optdigits
DM,0.02013794886301963,0.010518312454223633,optdigits
DR,0.0005692421331830835,0.007607936859130859,optdigits
